User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,Join Month,Last Payment Month
112,Basic,10,2022-06-01,2023-06-28,Canada,33,Female,Laptop,1 Month,June,June
113,Standard,15,2022-05-07,2023-06-26,United Kingdom,37,Male,Tablet,1 Month,May,June
114,Premium,10,2022-11-18,2023-06-25,Australia,48,Male,Smartphone,1 Month,November,June
115,Basic,11,2022-04-05,2023-06-25,Germany,50,Female,Laptop,1 Month,April,June
116,Premium,14,2022-05-19,2023-06-23,France,45,Female,Smart TV,1 Month,May,June
117,Basic,15,2021-10-30,2023-06-23,Brazil,40,Female,Tablet,1 Month,October,June
118,Standard,12,2022-08-07,2023-06-27,Mexico,33,Male,Smartphone,1 Month,August,June
119,Standard,11,2022-09-20,2023-06-25,Spain,44,Female,Smartphone,1 Month,September,June
120,Basic,10,2022-10-18,2023-06-25,Italy,30,Female,Smart TV,1 Month,October,June
121,Premium,15,2022-10-03,2023-06-24,United States,27,Male,Smart TV,1 Month,October,June
122,Basic,11,2022-05-03,2023-06-28,Canada,51,Male,Smart TV,1 Month,May,June
123,Standard,13,2022-05-25,2023-06-26,United Kingdom,49,Female,Smartphone,1 Month,May,June
124,Premium,15,2022-11-05,2023-06-25,Australia,43,Male,Laptop,1 Month,November,June
125,Basic,12,2022-08-21,2023-06-24,Germany,42,Male,Smartphone,1 Month,August,June
126,Premium,13,2022-09-21,2023-06-23,France,45,Male,Laptop,1 Month,September,June
127,Basic,10,2021-11-23,2023-06-23,Brazil,36,Male,Smartphone,1 Month,November,June
128,Standard,12,2022-10-06,2023-06-27,Mexico,48,Male,Smartphone,1 Month,October,June
129,Standard,13,2022-11-05,2023-06-23,Spain,38,Male,Smart TV,1 Month,November,June
130,Basic,14,2023-01-07,2023-06-23,Italy,43,Female,Tablet,1 Month,January,June
131,Premium,15,2022-10-06,2023-06-23,United States,47,Male,Laptop,1 Month,October,June
132,Basic,15,2022-06-24,2023-06-28,Canada,48,Female,Smart TV,1 Month,June,June
133,Standard,13,2022-06-24,2023-06-26,United Kingdom,47,Male,Smart TV,1 Month,June,June
134,Premium,15,2022-11-05,2023-06-25,Australia,32,Male,Tablet,1 Month,November,June
135,Basic,13,2022-07-18,2023-06-26,Germany,47,Female,Smart TV,1 Month,July,June
136,Premium,12,2022-09-13,2023-06-26,France,41,Female,Smart TV,1 Month,September,June
137,Basic,12,2022-08-10,2023-06-22,Brazil,49,Male,Laptop,1 Month,August,June
138,Standard,15,2022-09-21,2023-06-23,Mexico,28,Male,Laptop,1 Month,September,June
139,Standard,13,2023-03-24,2023-06-23,Spain,40,Male,Smartphone,1 Month,March,June
140,Basic,12,2022-05-02,2023-06-23,Italy,43,Female,Smartphone,1 Month,May,June
141,Premium,12,2022-05-11,2023-06-27,United States,42,Male,Smartphone,1 Month,May,June
142,Basic,14,2022-06-10,2023-06-22,Canada,28,Male,Smart TV,1 Month,June,June
143,Standard,14,2022-08-31,2023-06-24,United Kingdom,30,Female,Tablet,1 Month,August,June
144,Premium,10,2022-08-17,2023-06-26,Australia,33,Male,Smart TV,1 Month,August,June
145,Basic,11,2022-05-05,2023-06-26,Germany,35,Female,Laptop,1 Month,May,June
146,Basic,10,2022-10-06,2023-06-25,France,38,Male,Tablet,1 Month,October,June
147,Basic,12,2022-11-08,2023-06-24,Brazil,49,Female,Laptop,1 Month,November,June
148,Standard,15,2022-11-27,2023-06-28,Mexico,39,Female,Smartphone,1 Month,November,June
149,Premium,13,2022-11-17,2023-06-27,Spain,46,Female,Smart TV,1 Month,November,June
150,Basic,10,2022-12-15,2023-06-23,Italy,47,Female,Laptop,1 Month,December,June
151,Basic,15,2022-12-12,2023-06-25,United States,30,Female,Laptop,1 Month,December,June
152,Premium,14,2022-11-23,2023-06-27,Canada,33,Female,Tablet,1 Month,November,June
153,Standard,11,2022-12-25,2023-06-24,United Kingdom,47,Male,Smartphone,1 Month,December,June
154,Standard,11,2023-03-11,2023-06-27,Australia,27,Male,Laptop,1 Month,March,June
155,Basic,14,2022-11-18,2023-06-27,Germany,28,Male,Tablet,1 Month,November,June
156,Premium,15,2022-08-19,2023-06-25,France,47,Male,Smartphone,1 Month,August,June
157,Standard,14,2022-09-27,2023-06-24,Brazil,30,Male,Laptop,1 Month,September,June
158,Basic,13,2022-10-19,2023-06-28,Mexico,47,Female,Smartphone,1 Month,October,June
159,Standard,10,2022-12-21,2023-06-26,Spain,51,Female,Smart TV,1 Month,December,June
160,Premium,15,2022-10-27,2023-06-25,Italy,39,Male,Smartphone,1 Month,October,June
161,Basic,10,2022-10-23,2023-06-24,United States,45,Male,Tablet,1 Month,October,June
162,Premium,15,2022-04-19,2023-06-25,Canada,31,Male,Laptop,1 Month,April,June
163,Standard,11,2022-04-05,2023-06-26,United Kingdom,29,Male,Laptop,1 Month,April,June
164,Basic,11,2022-03-11,2023-06-26,Australia,42,Female,Tablet,1 Month,March,June
165,Standard,14,2022-05-25,2023-06-25,Germany,49,Male,Tablet,1 Month,May,June
166,Premium,13,2022-04-16,2023-06-26,France,42,Male,Laptop,1 Month,April,June
167,Basic,13,2022-04-07,2023-06-24,Brazil,29,Male,Smartphone,1 Month,April,June
168,Standard,10,2022-12-11,2023-06-28,Mexico,29,Male,Tablet,1 Month,December,June
169,Premium,12,2023-01-20,2023-06-26,Spain,49,Male,Tablet,1 Month,January,June
170,Basic,14,2023-01-12,2023-06-25,Italy,32,Male,Laptop,1 Month,January,June
171,Premium,11,2022-04-29,2023-06-24,United States,35,Female,Tablet,1 Month,April,June
172,Basic,12,2022-04-27,2023-06-26,Canada,39,Female,Smartphone,1 Month,April,June
173,Standard,15,2022-06-03,2023-06-25,United Kingdom,40,Male,Smartphone,1 Month,June,June
174,Standard,14,2022-04-23,2023-06-25,Australia,39,Female,Tablet,1 Month,April,June
175,Basic,10,2022-04-22,2023-06-26,Germany,47,Female,Laptop,1 Month,April,June
176,Premium,13,2022-04-12,2023-06-25,France,37,Female,Smart TV,1 Month,April,June
177,Basic,15,2022-05-23,2023-06-26,Brazil,27,Female,Smartphone,1 Month,May,June
178,Standard,13,2022-10-19,2023-06-26,Mexico,49,Female,Laptop,1 Month,October,June
179,Premium,10,2022-12-03,2023-06-26,Spain,30,Female,Tablet,1 Month,December,June
180,Basic,14,2022-09-26,2023-06-25,Italy,36,Male,Laptop,1 Month,September,June
181,Premium,15,2022-06-16,2023-06-27,United States,33,Male,Smartphone,1 Month,June,June
182,Basic,13,2022-05-16,2023-06-25,Canada,30,Female,Laptop,1 Month,May,June
183,Standard,15,2022-05-26,2023-06-26,United Kingdom,36,Female,Tablet,1 Month,May,June
184,Standard,13,2022-04-26,2023-06-25,Australia,28,Female,Laptop,1 Month,April,June
185,Basic,11,2022-05-12,2023-06-25,Germany,47,Female,Tablet,1 Month,May,June
186,Premium,12,2022-03-01,2023-06-25,France,33,Female,Smart TV,1 Month,March,June
187,Basic,13,2022-07-10,2023-06-24,Brazil,49,Female,Laptop,1 Month,July,June
188,Standard,15,2022-07-16,2023-06-27,Mexico,44,Female,Smart TV,1 Month,July,June
189,Premium,13,2022-09-02,2023-06-26,Spain,47,Male,Smart TV,1 Month,September,June
190,Basic,11,2022-09-18,2023-06-26,Italy,37,Female,Tablet,1 Month,September,June
191,Premium,10,2022-07-08,2023-06-25,United States,46,Male,Laptop,1 Month,July,June
192,Basic,14,2022-06-26,2023-06-27,Canada,50,Female,Smartphone,1 Month,June,June
193,Standard,11,2022-08-05,2023-06-25,United Kingdom,50,Male,Laptop,1 Month,August,June
194,Standard,14,2022-08-19,2023-06-27,Australia,37,Male,Laptop,1 Month,August,June
195,Basic,11,2022-08-26,2023-06-24,Germany,50,Female,Smartphone,1 Month,August,June
196,Premium,13,2022-06-09,2023-06-24,France,45,Female,Smart TV,1 Month,June,June
197,Basic,14,2022-09-27,2023-06-23,Brazil,45,Male,Tablet,1 Month,September,June
198,Standard,10,2022-10-18,2023-06-27,Mexico,49,Female,Laptop,1 Month,October,June
199,Premium,14,2022-10-31,2023-06-25,Spain,39,Female,Tablet,1 Month,October,June
200,Basic,11,2022-10-13,2023-06-25,Italy,45,Female,Tablet,1 Month,October,June
201,Premium,11,2022-07-04,2023-06-27,United States,49,Female,Smart TV,1 Month,July,June
202,Basic,12,2022-06-26,2023-06-27,Canada,31,Female,Tablet,1 Month,June,June
203,Standard,13,2022-07-31,2023-06-24,United Kingdom,42,Female,Smart TV,1 Month,July,June
204,Standard,12,2022-07-27,2023-06-24,Australia,37,Male,Smartphone,1 Month,July,June
205,Basic,12,2022-07-30,2023-06-25,Germany,30,Male,Smart TV,1 Month,July,June
206,Premium,11,2022-08-06,2023-06-25,France,40,Male,Smartphone,1 Month,August,June
207,Basic,15,2022-09-16,2023-06-24,Brazil,45,Female,Smartphone,1 Month,September,June
208,Standard,15,2023-01-05,2023-06-23,Mexico,36,Female,Tablet,1 Month,January,June
209,Premium,11,2022-12-10,2023-06-24,Spain,41,Male,Laptop,1 Month,December,June
210,Basic,14,2022-11-22,2023-06-26,Italy,49,Female,Laptop,1 Month,November,June
211,Premium,15,2022-11-15,2023-06-27,United States,40,Male,Tablet,1 Month,November,June
212,Basic,11,2022-10-28,2023-06-26,Canada,36,Male,Smart TV,1 Month,October,June
213,Standard,12,2022-09-08,2023-06-24,United Kingdom,49,Female,Smart TV,1 Month,September,June
214,Standard,13,2022-06-30,2023-06-28,Australia,43,Female,Laptop,1 Month,June,June
215,Basic,13,2022-09-02,2023-06-27,Germany,50,Female,Smartphone,1 Month,September,June
216,Premium,14,2022-10-08,2023-06-24,France,51,Female,Smart TV,1 Month,October,June
217,Basic,15,2022-11-13,2023-06-25,Brazil,44,Male,Smart TV,1 Month,November,June
218,Standard,12,2022-11-15,2023-06-28,Mexico,27,Male,Tablet,1 Month,November,June
219,Premium,12,2022-11-16,2023-06-25,Spain,46,Female,Smartphone,1 Month,November,June
220,Basic,12,2022-11-26,2023-06-27,Italy,29,Male,Tablet,1 Month,November,June
221,Basic,12,2022-11-26,2023-06-25,United States,47,Male,Smartphone,1 Month,November,June
222,Basic,10,2022-12-12,2023-06-26,Canada,48,Female,Smartphone,1 Month,December,June
223,Standard,12,2023-01-08,2023-06-25,United Kingdom,34,Female,Smartphone,1 Month,January,June
224,Premium,15,2022-11-27,2023-06-29,Australia,40,Female,Smartphone,1 Month,November,June
225,Basic,14,2022-10-11,2023-06-27,Germany,48,Female,Smartphone,1 Month,October,June
226,Basic,10,2022-09-27,2023-06-26,France,35,Male,Smartphone,1 Month,September,June
227,Premium,12,2022-09-30,2023-06-24,Brazil,51,Female,Smartphone,1 Month,September,June
228,Standard,10,2022-11-04,2023-06-27,Mexico,39,Male,Smart TV,1 Month,November,June
229,Standard,13,2022-11-04,2023-06-27,Spain,29,Male,Smartphone,1 Month,November,June
230,Basic,12,2022-10-30,2023-06-26,Italy,51,Male,Laptop,1 Month,October,June
231,Premium,11,2022-10-29,2023-06-24,United States,43,Male,Smartphone,1 Month,October,June
232,Standard,11,2022-08-30,2023-06-27,Canada,28,Male,Smartphone,1 Month,August,June
233,Basic,15,2022-07-07,2023-06-26,United Kingdom,50,Female,Smart TV,1 Month,July,June
234,Standard,14,2022-05-26,2023-06-27,Australia,44,Female,Laptop,1 Month,May,June
235,Premium,11,2022-05-17,2023-06-25,Germany,50,Male,Laptop,1 Month,May,June
236,Basic,11,2022-05-08,2023-06-26,France,39,Female,Smartphone,1 Month,May,June
237,Premium,13,2022-07-07,2023-06-25,Brazil,46,Female,Tablet,1 Month,July,June
238,Standard,15,2022-07-17,2023-06-28,Mexico,48,Male,Smartphone,1 Month,July,June
239,Basic,15,2022-12-23,2023-06-26,Spain,38,Male,Smart TV,1 Month,December,June
240,Standard,13,2022-06-27,2023-06-26,Italy,38,Male,Smartphone,1 Month,June,June
241,Premium,13,2022-05-31,2023-06-27,United States,47,Male,Laptop,1 Month,May,June
242,Basic,12,2022-06-02,2023-06-26,Canada,37,Male,Laptop,1 Month,June,June
243,Standard,11,2022-05-25,2023-06-27,United Kingdom,33,Male,Laptop,1 Month,May,June
244,Premium,15,2022-04-26,2023-06-26,Australia,28,Male,Smartphone,1 Month,April,June
245,Basic,13,2022-04-20,2023-06-26,Germany,47,Male,Smart TV,1 Month,April,June
246,Premium,11,2022-05-03,2023-06-25,France,38,Female,Smartphone,1 Month,May,June
247,Basic,12,2022-07-07,2023-06-27,Brazil,27,Male,Smart TV,1 Month,July,June
248,Standard,13,2022-09-15,2023-06-26,Mexico,34,Male,Smartphone,1 Month,September,June
249,Standard,14,2022-09-16,2023-06-27,Spain,42,Female,Smartphone,1 Month,September,June
250,Basic,14,2022-08-09,2023-06-26,Italy,28,Male,Laptop,1 Month,August,June
251,Premium,15,2022-06-25,2023-06-27,United States,30,Male,Laptop,1 Month,June,June
252,Basic,11,2022-05-30,2023-06-26,Canada,38,Female,Smartphone,1 Month,May,June
253,Standard,15,2022-05-21,2023-06-25,United Kingdom,45,Female,Tablet,1 Month,May,June
254,Premium,12,2022-05-20,2023-06-27,Australia,48,Female,Smart TV,1 Month,May,June
255,Basic,13,2022-05-20,2023-06-26,Germany,46,Female,Smart TV,1 Month,May,June
256,Premium,12,2022-05-30,2023-06-26,France,34,Male,Tablet,1 Month,May,June
257,Basic,13,2022-06-17,2023-06-25,Brazil,46,Male,Laptop,1 Month,June,June
258,Standard,11,2022-07-16,2023-06-28,Mexico,41,Female,Smartphone,1 Month,July,June
259,Standard,15,2022-08-05,2023-06-26,Spain,28,Male,Smartphone,1 Month,August,June
260,Basic,10,2022-07-17,2023-06-26,Italy,27,Female,Smartphone,1 Month,July,June
261,Premium,13,2022-07-04,2023-06-25,United States,27,Female,Smart TV,1 Month,July,June
262,Basic,12,2022-07-13,2023-06-26,Canada,28,Female,Tablet,1 Month,July,June
263,Standard,15,2022-07-25,2023-06-24,United Kingdom,46,Male,Smartphone,1 Month,July,June
264,Premium,10,2022-08-09,2023-06-27,Australia,51,Male,Smartphone,1 Month,August,June
265,Basic,11,2022-08-05,2023-06-25,Germany,32,Female,Smart TV,1 Month,August,June
266,Premium,10,2022-08-17,2023-06-26,France,44,Male,Tablet,1 Month,August,June
267,Basic,11,2022-09-08,2023-06-27,Brazil,44,Female,Laptop,1 Month,September,June
268,Standard,13,2022-10-16,2023-06-28,Mexico,34,Female,Smart TV,1 Month,October,June
269,Standard,13,2022-10-15,2023-06-25,Spain,29,Female,Laptop,1 Month,October,June
270,Basic,12,2022-09-04,2023-06-25,Italy,47,Male,Smart TV,1 Month,September,June
271,Premium,14,2022-08-20,2023-06-26,United States,41,Male,Laptop,1 Month,August,June
272,Basic,10,2022-08-10,2023-06-26,Canada,36,Female,Smartphone,1 Month,August,June
273,Standard,12,2022-08-02,2023-06-25,United Kingdom,28,Female,Laptop,1 Month,August,June
274,Premium,10,2022-08-01,2023-06-24,Australia,27,Female,Tablet,1 Month,August,June
275,Basic,15,2022-08-06,2023-06-25,Germany,34,Female,Laptop,1 Month,August,June
276,Premium,14,2022-08-09,2023-06-25,France,34,Female,Smart TV,1 Month,August,June
277,Basic,13,2022-09-12,2023-06-26,Brazil,37,Female,Tablet,1 Month,September,June
278,Standard,14,2022-09-27,2023-06-26,Mexico,34,Female,Laptop,1 Month,September,June
279,Standard,15,2022-11-12,2023-06-24,Spain,50,Female,Laptop,1 Month,November,June
280,Basic,12,2022-11-13,2023-06-27,Italy,34,Female,Laptop,1 Month,November,June
281,Premium,12,2022-11-02,2023-06-28,United States,33,Female,Smart TV,1 Month,November,June
282,Basic,11,2022-10-30,2023-06-25,Canada,33,Male,Smart TV,1 Month,October,June
283,Standard,15,2022-06-30,2023-06-26,United Kingdom,46,Male,Smartphone,1 Month,June,June
284,Premium,14,2022-08-04,2023-06-28,Australia,39,Female,Smartphone,1 Month,August,June
285,Basic,10,2022-09-01,2023-06-27,Germany,42,Female,Laptop,1 Month,September,June
286,Premium,14,2022-10-14,2023-06-27,France,50,Female,Laptop,1 Month,October,June
287,Basic,10,2022-10-16,2023-06-26,Brazil,43,Male,Smartphone,1 Month,October,June
288,Standard,14,2022-10-20,2023-06-28,Mexico,51,Male,Smart TV,1 Month,October,June
289,Standard,15,2022-11-20,2023-06-25,Spain,34,Female,Smart TV,1 Month,November,June
290,Basic,12,2022-11-25,2023-06-30,Italy,48,Male,Smartphone,1 Month,November,June
291,Premium,13,2022-12-04,2023-06-27,United States,29,Female,Tablet,1 Month,December,June
292,Basic,11,2022-12-12,2023-06-27,Canada,43,Female,Laptop,1 Month,December,June
293,Standard,14,2022-12-09,2023-06-25,United Kingdom,39,Female,Laptop,1 Month,December,June
294,Premium,10,2022-10-15,2023-06-29,Australia,50,Male,Laptop,1 Month,October,June
295,Basic,14,2022-10-03,2023-06-27,Germany,45,Male,Laptop,1 Month,October,June
296,Basic,12,2022-10-01,2023-06-27,France,48,Female,Tablet,1 Month,October,June
297,Basic,13,2022-11-02,2023-06-24,Brazil,40,Male,Smartphone,1 Month,November,June
298,Standard,14,2022-11-03,2023-06-27,Mexico,41,Male,Tablet,1 Month,November,June
299,Premium,10,2022-10-30,2023-06-27,Spain,27,Male,Smartphone,1 Month,October,June
300,Basic,11,2022-10-30,2023-06-28,Italy,36,Male,Laptop,1 Month,October,June
301,Basic,10,2022-09-27,2023-06-24,United States,36,Female,Laptop,1 Month,September,June
302,Premium,11,2022-09-14,2023-06-27,Canada,44,Male,Tablet,1 Month,September,June
303,Standard,12,2022-06-11,2023-06-26,United Kingdom,45,Male,Tablet,1 Month,June,June
